,STA302 hours (W1),COVID hours (W1),Country,Quiz_1_score,STA302 hours (W2),COVID hours (W2),Quiz_2_score,STA302 hours (W3),COVID hours (W3),Quiz_3_score,STA302 hours (W4),COVID hours (W4),Quiz_4_score
1,3,2,Canada,10,7,3,7.8,6,1,9,6,2,10
2,4,1,Canada,8,6,2,8.2,3,2,9,3,1.5,9
3,5,2,Canada,8,6,1,8.2,3,0.5,9,6,1,9
4,10,3,Canada,9,12,4,9.4,10,2,9,15,2,9
5,5,0.2,China,6,4,0.1,NA,0,0,6,NA,NA,8
6,10,6,UAE,3,8,6,NA,6,10,3,NA,NA,1
7,6,2,Canada,8,9,0.5,5.8,7,0.3,5,8,2,6
8,3.5,0.583,China,9,6,0,10,4.5,0,10,4,0,7
9,6,2,Canada,10,10,2,5.8,NA,NA,NA,NA,NA,NA
10,8,84,China,8,NA,NA,9.4,10,10,10,10,10,8
11,4,2,Canada,9,8,3,6.4,9,2,4,15,1,9
12,3,0.5,China,8,NA,NA,9.4,2,1,10,23,8,9
13,3,1,China,8,3,0.5,2.8,3,1,9,3,2,10
14,4,2,Canada,10,3,0.5,9.4,2,0,6,2,2,6
15,18,5,China,9,6,4,9.4,12,5,9,15,12,10
16,1,1,Canada,6,3,3,NA,4,3,NA,NA,NA,NA
17,3,2,Pakistan,9,NA,NA,NA,4,NA,NA,5,3,4
18,6,0,China,9,6,0,10,3,0.5,9,4,0.5,10
19,6,6,Canada,8,8,2,NA,6,3,NA,NA,NA,NA
20,6,1,Canada,7,10,2,5.8,10,2,6,13,3,5
21,9,5,Canada,8,12,5,8.2,30,10,4,40,3,8
22,10,1,China,3,12,1,5.8,12,1,8,20,1.5,8
23,21,3,China,10,20,3,NA,21,4,NA,NA,NA,NA
24,18,2,Canada,4,20,1,9.4,22,2,6,25,1,7
25,4,1,Canada,5,7,3,5.8,8,4,2,8,3,4
26,9,0,India,7,9,0.333,2.8,12,0.0833,10,12,0.333,9
27,8,0,China,8,6,2,9.4,6,0,9,10,0,8
28,10,1,China,8,NA,NA,9.4,6,1,4,8,1,NA
29,0,3,Singapore,6,12,1,8.8,12,1,1,20,1,7
30,0.5,2,Canada,3,2,1,NA,2,4,NA,NA,NA,NA
31,3,0.5,China,1,6,0.5,7.8,12,0.5,2,12,1,6
32,8,1,Pakistan,9,9,2,8.8,12,1,8,20,2,7
33,4,1,China,9,3,1,1.8,0,0,5,3,4,5
34,5,1,China,10,7,2,10,6,2,9,5,3,NA
35,2,0.5,South Korea,9,10,2,9.4,7,1,9,7,1,8
36,7,3,Taiwan,9,9,3,9.4,12,3,10,20,3,7
37,6,1,Canada,9,7,1,5.4,7,1,6,5,2,8
38,6,2,Canada,9,8,2,5.2,10,2,5,8,5,4
39,3.5,14,Taiwan,8,6,2,NA,2,0.5,NA,NA,NA,NA
40,3,1,Canada,6,5,3,NA,4,1,NA,NA,NA,NA
41,7,0.5,Canada,9,3,3,NA,1.5,1,NA,NA,NA,NA
42,10,0,USA,8,20,1,8.8,10,1,6,10,1,7
43,5,1,Canada,9,4,0,10,6,0,9,NA,NA,10
44,4,0,China,9,5.5,0.5,10,5.5<U+00A0>,1,10,6,0.5,9
45,6,0.5,China,8,8,0.5,5.2,11,0,10,17,2,10
46,3,1,Canada,NA,5,1,NA,5,1,NA,NA,NA,NA
47,7,3,Canada,5,8,12,NA,NA,NA,NA,NA,NA,NA
48,6,1,Canada,9,10,1,6.4,10,1,10,6,2,5
49,8,7,Canada,7,12,14,NA,14,16,NA,NA,NA,NA
50,9,2,Canada,9,11,2,9.4,10,2,8,20,4,8
51,3,1,Canada,5,4,3,NA,NA,NA,NA,NA,NA,NA
52,7,1.5,Canada,10,NA,NA,1.2,8.5,1,9,10,1.5,9
53,20,3,China,8,NA,NA,NA,20,10,NA,NA,NA,NA
54,6,0.5,China,9,8.5,0.5,9.4,8.5,0.5,9,14.5,2,9
